MODE,JOB_ID,WORKERS,FILE,ALGO,TAU,SIGMA,BETA,NUMPARTITIONS,VERTICES,REAL EDGES, VIRTUAL EDGES,Time,Sampling Time,Total LP,Score,Migrations,R MaxNorm unbalance,V MaxNorm unbalance,Vertex MaxNorm unbalance,#real EC,#real EC (%%),#virtual EC,#virtual EC (%%),Vertex Balance JSD,Real Edge Balance JSD,Virtual Edge Balance JSD
Edge,job_202101261615_1177,8,RoadCanada.vertex,InitializeSampleGD,10,0.015,0.1,8,1965206,5533214,5533214,41886,3499,35987,1120350.0789830505,4876944,1.013,1.013,1.012,2426469,0.439,2426469,0.439,0.000010,0.000009,0.000009
Edge,job_202101261615_0883,8,Youtube.vertex,InitializeSampleHD,15,0.015,0.15,8,1134890,2987624,5975248,25861,2487,21480,820095.5447907079,2295487,1.048,1.044,1.396,1141448,0.382,2279576,0.382,0.020713,0.000158,0.000257
Edge,job_202101261615_0996,8,Youtube.vertex,InitializeSampleGD,10,0.02,0.2,4,1134890,2987624,5975248,21812,5319,14506,824899.1279158224,2021439,1.010,1.018,1.264,923166,0.309,1844433,0.309,0.007601,0.000011,0.000032
Edge,job_202101261615_1512,8,RoadCanada.vertex,BGRAP,5,0.01,0.1,8,1965206,5533214,5533214,42076,0,41258,1123483.7812702004,5448904,1.013,1.013,1.012,2412606,0.436,2412606,0.436,0.000011,0.000011,0.000011
Edge,job_202101261615_1232,8,RoadCanada.vertex,InitializeSampleGD,10,0.015,0.2,16,1965206,5533214,5533214,75238,3804,68900,1085888.970491908,5730738,1.016,1.016,1.012,2533779,0.458,2533779,0.458,0.000014,0.000020,0.000020
Edge,job_202101261615_1332,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.01,0.1,4,685230,7600595,13298940,12623,3089,7917,595316.3371700783,1066636,1.022,1.047,1.281,796517,0.105,1376574,0.104,0.004792,0.000116,0.000243
Edge,job_202101261615_1120,8,RoadCanada.vertex,InitializeSampleHD,5,0.015,0.15,8,1965206,5533214,5533214,42443,4229,35895,1108145.2913953748,4837023,1.008,1.008,1.004,2459819,0.445,2459819,0.445,0.000004,0.000005,0.000005
Edge,job_202101261615_1129,8,RoadCanada.vertex,InitializeSampleHD,5,0.02,0.15,8,1965206,5533214,5533214,42598,2561,37685,1117868.1234767076,5043243,1.011,1.011,1.010,2431321,0.439,2431321,0.439,0.000005,0.000007,0.000007
Edge,job_202101261615_1003,8,RoadCanada.vertex,InitializeSampleRD,5,0.01,0.1,8,1965206,5533214,5533214,41903,3282,38057,1116595.70806248,5144815,1.011,1.011,1.012,2431561,0.439,2431561,0.439,0.000017,0.000010,0.000010
Edge,job_202101261615_1395,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.015,0.2,4,685230,7600595,13298940,13321,3765,7698,578647.9508550722,989506,1.042,1.068,1.235,911048,0.120,1576490,0.119,0.004780,0.000309,0.000308
Edge,job_202101261615_1193,8,RoadCanada.vertex,InitializeSampleGD,5,0.01,0.15,16,1965206,5533214,5533214,80163,3772,74069,1098344.1181578804,5976456,1.019,1.019,1.019,2496034,0.451,2496034,0.451,0.000011,0.000021,0.000021
Edge,job_202101261615_1163,8,RoadCanada.vertex,InitializeSampleHD,15,0.02,0.2,16,1965206,5533214,5533214,72433,3165,66873,1088416.415713357,5574032,1.015,1.015,1.020,2530683,0.457,2530683,0.457,0.000030,0.000020,0.000020
Edge,job_202101261615_1438,8,BerkeleyStan.vertex,InitializeSampleGD,10,0.01,0.15,8,685230,7600595,13298940,19225,4015,12970,528555.2282648644,1102641,1.050,1.187,1.149,1670610,0.220,2982557,0.224,0.003030,0.000211,0.001862
Edge,job_202101261615_0980,8,Youtube.vertex,InitializeSampleGD,10,0.01,0.2,16,1134890,2987624,5975248,31123,3153,26009,766123.2180415669,2374674,1.045,1.071,1.550,1491818,0.499,2971968,0.497,0.028915,0.000171,0.000551
Edge,job_202101261615_1431,8,BerkeleyStan.vertex,InitializeSampleGD,15,0.02,0.1,4,685230,7600595,13298940,14958,5893,7396,594754.8741995619,1003453,1.048,1.098,1.167,842100,0.111,1443043,0.109,0.004539,0.000254,0.000909
Edge,job_202101261615_1171,8,RoadCanada.vertex,InitializeSampleGD,15,0.01,0.1,8,1965206,5533214,5533214,42144,2904,36833,1120031.9282539901,4961377,1.011,1.011,1.011,2427076,0.439,2427076,0.439,0.000011,0.000008,0.000008
Edge,job_202101261615_1364,8,BerkeleyStan.vertex,InitializeSampleHD,5,0.015,0.15,16,685230,7600595,13298940,21761,3266,16678,545095.0070330844,1242306,1.050,1.379,1.534,1638423,0.216,3009951,0.226,0.012650,0.000547,0.004653
Edge,job_202101261615_0826,8,Youtube.vertex,InitializeSampleRD,10,0.015,0.2,8,1134890,2987624,5975248,21054,3369,17179,813567.539128342,2180906,1.060,1.045,1.297,1209471,0.405,2410145,0.403,0.019525,0.000187,0.000141
Edge,job_202101261615_1105,8,RoadCanada.vertex,InitializeSampleHD,10,0.02,0.1,8,1965206,5533214,5533214,41365,2081,36999,1111744.993841517,4970733,1.013,1.013,1.015,2448915,0.443,2448915,0.443,0.000012,0.000013,0.000013
Edge,job_202101261615_1481,8,BerkeleyStan.vertex,InitializeSampleGD,5,0.02,0.2,16,685230,7600595,13298940,22107,4089,16351,519947.8919969151,1162383,1.050,1.400,1.408,1803617,0.237,3300828,0.248,0.012734,0.000178,0.003421
Edge,job_202101261615_1025,8,RoadCanada.vertex,InitializeSampleRD,10,0.02,0.1,16,1965206,5533214,5533214,80013,2995,76336,1103278.005570808,6097279,1.018,1.018,1.012,2480324,0.448,2480324,0.448,0.000008,0.000020,0.000020
Edge,job_202101261615_1056,8,RoadCanada.vertex,InitializeSampleRD,5,0.01,0.2,4,1965206,5533214,5533214,24817,4466,19686,1178430.6307775725,3829234,1.008,1.008,1.006,2276929,0.412,2276929,0.412,0.000003,0.000005,0.000005
Edge,job_202101261615_0929,8,Youtube.vertex,InitializeSampleGD,15,0.01,0.1,16,1134890,2987624,5975248,30480,3007,25397,804498.1070147319,2422985,1.058,1.065,1.468,1439837,0.482,2866923,0.480,0.031089,0.000185,0.000398
Edge,job_202101261615_1172,8,RoadCanada.vertex,InitializeSampleGD,15,0.01,0.1,16,1965206,5533214,5533214,76268,2751,71061,1096322.2367765603,5787276,1.018,1.018,1.019,2501906,0.452,2501906,0.452,0.000017,0.000022,0.000022
Edge,job_202101261615_1234,8,RoadCanada.vertex,InitializeSampleGD,15,0.015,0.2,8,1965206,5533214,5533214,43956,5283,36081,1112745.060826125,4828301,1.011,1.011,1.013,2449513,0.443,2449513,0.443,0.000017,0.000009,0.000009
Edge,job_202101261615_0880,8,Youtube.vertex,InitializeSampleHD,10,0.015,0.15,8,1134890,2987624,5975248,24962,2635,20409,803182.4404931669,2277573,1.035,1.028,1.235,1069279,0.358,2137006,0.358,0.010884,0.000087,0.000062
Edge,job_202101261615_1420,8,BerkeleyStan.vertex,InitializeSampleGD,10,0.015,0.1,8,685230,7600595,13298940,16393,3954,10554,560020.9898481735,1115211,1.050,1.218,1.267,1203946,0.158,2154325,0.162,0.006266,0.000472,0.002342
Edge,job_202101261615_1379,8,BerkeleyStan.vertex,InitializeSampleHD,15,0.02,0.15,16,685230,7600595,13298940,18723,3276,13634,517314.9685139207,1160770,1.050,1.282,1.263,1797969,0.237,3277735,0.246,0.006395,0.000355,0.002474
